år;Bensin;Diesel;El;Etanol;Övriga hybrider;Gas;Övriga;Totalt
2010;3479607;606570;190;204456;19349;24973;37;4335182
2011;3364196;766042;366;218174;21389;30992;193;4401352
2012;3236814;924197;603;225869;24349;35121;212;4447165
2013;3130151;1068035;1010;228726;29994;37328;229;4495473
2014;3049225;1224287;2172;229621;37102;40095;267;4585519
2015;2958860;1381813;4765;228174;52513;42675;263;4669063
2016;2888004;1529805;7532;224787;73958;43693;281;4768060
2017;2821771;1644862;11034;220223;103728;43706;285;4845609
2018;2754872;1704457;16664;212385;139667;42463;275;4870783
2019;2694251;1735589;30343;201714;184121;41633;253;4887904
2020;2658004;1742365;55734;193904;252751;41047;262;4944067
